mage,mmarital,meduc,mdegree,amsalary,amhsinc,amphyfn,amphylmt,amslfstm,ammaster,amspspt,amsphos,ammarstb,amsoccap,amclosef,amtang,ambelong,amappris,amfinpbm,amecnstt,amecnadj,wage,wmarital,weduc,wdegree,awsalary,awhsinc,awphyfn,awphylmt,awslfstm,awmaster,awspspt,awsphos,awmarstb,awsoccap,awclosef,awtang,awbelong,awappris,awfinpbm,awecnstt,awecnadj
22,2,15,4,16.8,44,0,0,38,30,24,10,1,10,11,12,16,8,10,19,6,19,2,12,3,0,0,0,0,37,32,27,6,1,13,6,13,17,7,10,19,6
42,2,12,2,60,109,1,0,40,31,21,9,5,13,17,15,15,14,9,23,9,35,2,13,4,36,109,1,0,40,31,21,7,5,33,14,15,15,14,9,22,10
41,2,20,5,60,245,1,0,42,26,13,16,5,15,11,14,15,12,5,16,0,44,2,18,5,180,245,1,0,43,26,14,19,5,18,11,14,13,12,4,17,0
53,2,17,5,116.4,150,1,1,33,27,19,14,5,29,20,15,16,13,7,8,4,49,2,16,4,60,150,3,3,36,28,24,8,4,37,18,14,13,10,7,18,6
46,2,18,5,60,100,0,0,38,27,19,7,5,24,7,17,11,10,7,6,1,37,2,18,3,36,100,1,1,40,28,19,7,5,29,18,20,16,13,7,6,1
62,2,13,3,0,60,8,2,34,29,18,15,6,17,9,14,15,10,9,26,8,56,2,11,2,26.4,60,6,0,37,22,22,9,5,15,8,13,17,12,7,25,8
32,2,12,3,61.44,120,1,0,34,27,16,12,5,14,11,14,11,11,6,20,7,30,2,12,3,48,120,1,2,36,24,13,11,9,9,14,19,17,15,8,18,6
52,2,13,4,50.4,101,1,3,39,23,20,12,5,22,18,17,19,14,6,22,1,47,2,13,3,49.2,102,1,0,35,24,21,11,5,19,20,18,14,11,6,22,1
 , , , , , , , , , , , , , , , , , , , ,0,28,1,13,4,56.4,65,0,0,33,23, , ,0,14, ,15,18,13,5,20,2
60,2,13,3,72,132,3,0,40,25,16,7,5,21,16,18,20,15,10,25,8,56,2,12,3,57.6,132,2,1,36,24,13,9,5,15,12,13,16,11,8,24,7
36,2,13,3,36,114,0,0,39,26,8,24,11,23,6,16,16,16,6,27,8,37,2,13,3,66,115,1,0,34,26,13,12,9,8,11,17,16,14,9,25,9
29,2,20,5,120,120,1,0,46, ,21,11,5,21,12,19,16,14,7,16,2,25,2,17,5,0,120,1,1,37,23, ,11,5,18,17,19,16,13,5,14,2
55,2,13,3,81.6,144,1,0,36,28,22,11,5,11,14,15,13,11,6,23,3,53,2,13,3,56.4,144,11,4,28,22,24,8,5,24,16,14,13,10,7,23,3
 , , , , , , , , , , , , , , , , , , , ,0,30,3,13,3,60,74,1,2,35,28, , ,0,10, ,17,17,14,10,25,7
25,2,12,3,48,90,0,0,36,24,19,16,8,15,14,13,15,12,6,24,5,25,2,12,3,0,102,1,0,30,22,14,15,11,16,15,20,14,13,6,27,7
30,2,12,2,48,83,1,1,32,24,20,15,5,3,18,16,15,13,6,15,5,22,2,12,3,38.4,83,1,0,34,24,19,12,5,18,10,16, ,11,6,15,5
28,2,16,5,60,90,0,0,39,31,17,10,5,17,14,12,14,14,9,15,6,27,2,12,3,16.32,90,3,1,36,27,19,13,5,9,18,16,14,12,9,14,7
51,2,8,2,60,100,1,0,38,24,13,10,5,6,13,17,12,10,5,20,4,46,2,13,3,28.8,100,12,2,41,27,20,16,5,6,9,17,14,12,5,15,0
